,cal_quarter,PROCODE,standard_los
1,Q1   2018,R0A,7.491182067
2,Q1   2018,R1F,8.940387511
3,Q1   2018,R1H,6.227161717
4,Q1   2018,R1K,7.018025217
5,Q1   2018,RA2,5.70498439
6,Q1   2018,RA4,6.766880356
7,Q1   2018,RA7,6.314429201
8,Q1   2018,RA9,5.68356773
9,Q1   2018,RAE,5.089650105
10,Q1   2018,RAJ,5.461457425
11,Q1   2018,RAL,6.456517737
12,Q1   2018,RAP,6.507376237
13,Q1   2018,RAS,6.80632155
14,Q1   2018,RAX,5.926573417
15,Q1   2018,RBK,6.65476316
16,Q1   2018,RBL,9.121627429
17,Q1   2018,RBN,6.416193987
18,Q1   2018,RBT,7.121591055
19,Q1   2018,RBZ,5.668336144
20,Q1   2018,RC9,6.52218736
21,Q1   2018,RCB,6.987004372
22,Q1   2018,RCD,6.722183243
23,Q1   2018,RCF,6.260925577
24,Q1   2018,RCX,5.996431896
25,Q1   2018,RD1,6.697465101
26,Q1   2018,RD8,6.969186411
27,Q1   2018,RDE,5.823774962
28,Q1   2018,RDU,6.61180703
29,Q1   2018,REF,6.118371192
30,Q1   2018,REM,6.812395366
31,Q1   2018,RF4,6.785218366
32,Q1   2018,RFF,5.424411194
33,Q1   2018,RFR,5.35857378
34,Q1   2018,RFS,5.770930343
35,Q1   2018,RGN,6.037212685
36,Q1   2018,RGP,7.297808837
37,Q1   2018,RGR,6.415261974
38,Q1   2018,RGT,7.559210982
39,Q1   2018,RH5,37.29122859
40,Q1   2018,RH8,6.782729897
41,Q1   2018,RHM,7.458807415
42,Q1   2018,RHQ,7.12622664
43,Q1   2018,RHU,7.720551774
44,Q1   2018,RHW,6.477285172
45,Q1   2018,RJ1,5.754192404
46,Q1   2018,RJ2,7.6271914
47,Q1   2018,RJ6,6.882347884
48,Q1   2018,RJ7,6.64831187
49,Q1   2018,RJC,7.348060803
50,Q1   2018,RJE,7.324691048
51,Q1   2018,RJL,6.653812973
52,Q1   2018,RJN,8.003286874
53,Q1   2018,RJR,8.105366186
54,Q1   2018,RJZ,7.830142395
55,Q1   2018,RK5,6.89291063
56,Q1   2018,RK9,6.652356901
57,Q1   2018,RKB,6.958826728
58,Q1   2018,RKE,6.885860639
59,Q1   2018,RL4,7.772201498
60,Q1   2018,RLQ,7.090267751
61,Q1   2018,RLT,7.809665479
62,Q1   2018,RM1,5.856526925
63,Q1   2018,RM3,8.001826271
64,Q1   2018,RMC,6.278335231
65,Q1   2018,RMP,7.38070698
66,Q1   2018,RN3,5.992189511
67,Q1   2018,RN5,7.040322937
68,Q1   2018,RN7,7.253927998
69,Q1   2018,RNA,6.650071104
70,Q1   2018,RNN,27.5313293
71,Q1   2018,RNQ,7.914623336
72,Q1   2018,RNS,7.993529831
73,Q1   2018,RNZ,7.084164797
74,Q1   2018,RP5,5.992781052
75,Q1   2018,RPA,6.246989201
76,Q1   2018,RQM,5.951313568
77,Q1   2018,RQW,7.262084836
78,Q1   2018,RQX,6.298136786
79,Q1   2018,RR7,7.157037834
80,Q1   2018,RR8,8.403443416
81,Q1   2018,RRF,5.280298256
82,Q1   2018,RRK,7.269120592
83,Q1   2018,RRV,6.595924159
84,Q1   2018,RTD,7.014147174
85,Q1   2018,RTE,5.780958988
86,Q1   2018,RTF,6.545449672
87,Q1   2018,RTG,6.082029077
