"","date","trust_code","occupied_beds","bed_capacity"
"1",2014 Q1,"RBL",635.912087912088,768.230769230769
"2",2014 Q1,"RBT",501.021978021978,538
"3",2014 Q1,"REN",46.2197802197802,73.2857142857143
"4",2014 Q1,"RJN",310.835164835165,351.175824175824
"5",2014 Q1,"RJR",507.252747252747,558.032967032967
"6",2014 Q1,"RTV",287.681318681319,322.659340659341
"7",2014 Q1,"RWW",501.505494505494,594.967032967033
"8",2014 Q1,"RXA",292.406593406593,354.813186813187
"9",2014 Q1,"RTR",905.274725274725,1167.93406593407
"10",2014 Q1,"RVW",512.725274725275,636.395604395604
"11",2014 Q1,"RX3",807.230769230769,879.681318681319
"12",2014 Q1,"RXP",869.230769230769,1106
"13",2014 Q1,"RBV",132.824175824176,176.758241758242
"14",2014 Q1,"RM2",726.923076923077,859.615384615385
"15",2014 Q1,"RM3",634.131868131868,700.010989010989
"16",2014 Q1,"RMC",537.835164835165,651.384615384615
"17",2014 Q1,"RMP",418.648351648352,474.89010989011
"18",2014 Q1,"RRF",417.065934065934,494.67032967033
"19",2014 Q1,"RT2",540.659340659341,562.494505494505
"20",2014 Q1,"RW3",1083.98901098901,1205.59340659341
"21",2014 Q1,"RW6",1122.50549450549,1343.31868131868
"22",2014 Q1,"RWJ",592.461538461538,718.725274725275
"23",2014 Q1,"RXV",549,589.978021978022
"24",2014 Q1,"TAE",244.725274725275,252
"25",2014 Q1,"RJX",215.230769230769,230.065934065934
"26",2014 Q1,"RW5",475.032967032967,520.604395604396
"27",2014 Q1,"RXL",719.087912087912,819.406593406593
"28",2014 Q1,"RXN",809.131868131868,876.681318681319
"29",2014 Q1,"RXR",818.978021978022,968.472527472527
"30",2014 Q1,"RBN",639.659340659341,699.483516483516
"31",2014 Q1,"RBQ",125.472527472527,153.142857142857
"32",2014 Q1,"RBS",169.604395604396,216.538461538462
"33",2014 Q1,"REM",652.582417582418,679.373626373626
"34",2014 Q1,"REP",111.912087912088,138.373626373626
"35",2014 Q1,"RET",142.461538461538,159.483516483516
"36",2014 Q1,"RQ6",721.505494505495,772
"37",2014 Q1,"RVY",404.879120879121,482.659340659341
"38",2014 Q1,"RW4",557.021978021978,644
"39",2014 Q1,"RE9",326.967032967033,400.021978021978
"40",2014 Q1,"RLN",623.769230769231,829.626373626374
"41",2014 Q1,"RNL",511.901098901099,606.153846153846
"42",2014 Q1,"RNN",116.615384615385,127
"43",2014 Q1,"RR7",460.252747252747,502.263736263736
"44",2014 Q1,"RTD",1316.73626373626,1569.75824175824
"45",2014 Q1,"RTF",887.791208791209,1109.9010989011
"46",2014 Q1,"RTX",616.736263736264,750.043956043956
"47",2014 Q1,"RX4",825.582417582418,998.010989010989
"48",2014 Q1,"RCB",864.142857142857,996.879120879121
"49",2014 Q1,"RCD",271.769230769231,340.461538461538
"50",2014 Q1,"RJL",660.934065934066,823.010989010989
"51",2014 Q1,"RV9",187.835164835165,232.120879120879
"52",2014 Q1,"RWA",950.230769230769,1085.95604395604
"53",2014 Q1,"RCU",110.263736263736,146.274725274725
"54",2014 Q1,"RFF",390.802197802198,466.951648351648
"55",2014 Q1,"RFR",510.252747252747,522.252747252747
"56",2014 Q1,"RHQ",1569.28571428571,2065.59340659341
"57",2014 Q1,"RP5",797.318681318681,990
"58",2014 Q1,"RXE",279,350.912087912088
"59",2014 Q1,"TAH",212.604395604396,243.956043956044
"60",2014 Q1,"RAE",518.032967032967,763.714285714286
"61",2014 Q1,"RCF",314.208791208791,406.989010989011
"62",2014 Q1,"RGD",468.43956043956,556.010989010989
"63",2014 Q1,"RR8",1528.96703296703,1877.7032967033
"64",2014 Q1,"RWY",645.340659340659,757.681318681319
"65",2014 Q1,"RXF",819.076923076923,1048.28571428571
"66",2014 Q1,"RXG",488.659340659341,556
"67",2014 Q1,"RY6",56.4945054945055,58
"68",2014 Q1,"TAD",186.604395604396,199.10989010989
"69",2014 Q1,"R1A",175.725274725275,212
"70",2014 Q1,"RJC",440.637362637363,543.065934065934
"71",2014 Q1,"RKB",1046.6043956044,1133.64835164835
"72",2014 Q1,"RLQ",225.164835164835,239
"73",2014 Q1,"RLT",282.494505494506,304.945054945055
"74",2014 Q1,"RWP",699.67032967033,863.263736263736
"75",2014 Q1,"RYG",344.538461538462,374.318681318681
"76",2014 Q1,"RBK",456.978021978022,513.21978021978
"77",2014 Q1,"RL4",741.857142857143,803.065934065934
"78",2014 Q1,"RLU",79.8461538461538,141.571428571429
"79",2014 Q1,"RNA",655.230769230769,764.857142857143
"80",2014 Q1,"RQ3",242.406593406593,250.362637362637
"81",2014 Q1,"RR1",1226.73626373626,1375.6043956044
"82",2014 Q1,"RRJ",85.7362637362637,112.78021978022
"83",2014 Q1,"RRK",1034.52747252747,1067
"84",2014 Q1,"RXK",675.791208791209,812.241758241758
"85",2014 Q1,"RXT",649.582417582418,729.142857142857
"86",2014 Q1,"RYK",159.978021978022,189
"87",2014 Q1,"RYW",249.065934065934,285.417582417582
"88",2014 Q1,"TAJ",178.736263736264,217
"89",2014 Q1,"RFS",490.43956043956,558.956043956044
"90",2014 Q1,"RHA",1011.03296703297,1168.52747252747
"91",2014 Q1,"RK5",686.813186813187,742.153846153846
"92",2014 Q1,"RTG",947.296703296703,1104.07692307692
"93",2014 Q1,"RX1",1431.59340659341,1635.23076923077
"94",2014 Q1,"RXM",302.538461538462,311
"95",2014 Q1,"RY8",107.879120879121,123.769230769231
"96",2014 Q1,"RCX",379.032967032967,425.593406593407
"97",2014 Q1,"RGM",185.593406593407,234.571428571429
"98",2014 Q1,"RGN",557.692307692308,641.120879120879
"99",2014 Q1,"RGP",384.879120879121,432.417582417582
"100",2014 Q1,"RGQ",503.901098901099,581.978021978022
"101",2014 Q1,"RGR",344.824175824176,489
"102",2014 Q1,"RGT",854.120879120879,933.340659340659
"103",2014 Q1,"RM1",936.912087912088,1025.68131868132
"104",2014 Q1,"RMY",413.043956043956,477.164835164835
"105",2014 Q1,"RQQ",203.164835164835,246.384615384615
"106",2014 Q1,"RT1",252.89010989011,282.868131868132
"107",2014 Q1,"RY3",217.835164835165,245.197802197802
"108",2014 Q1,"RYV",65.7362637362637,102.923076923077
"109",2014 Q1,"RAJ",476.494505494506,630.571428571429
"110",2014 Q1,"RDD",643.274725274725,683
"111",2014 Q1,"RDE",567.593406593407,660.186813186813
"112",2014 Q1,"RQ8",500.714285714286,552
