"","date","trust_code","sick_ftes","total_ftes","sickness_rate"
"1",2009 Q2,"NB7",1084.5,145334.185,0.00746211223464046
"2",2009 Q2,"RA2",8050.96251,231641.92449,0.0347560681328546
"3",2009 Q2,"RA3",5152.93742,132492.31311,0.0388923500469181
"4",2009 Q2,"RA4",4533.23041,144024.96674,0.0314753095425711
"5",2009 Q2,"RA7",23079.54601,596718.33739,0.0386774539407456
"6",2009 Q2,"RA9",10678.92092,302256.21149,0.0353306913606747
"7",2009 Q2,"RAE",21015.49895,405065.0177,0.0518817918894308
"8",2009 Q2,"RAJ",13074.89205,331896.22863,0.0393945182925714
"9",2009 Q2,"RAL",12753.39585,455374.47467,0.028006391573094
"10",2009 Q2,"RAN",2791.97383,85782.72148,0.0325470418964376
"11",2009 Q2,"RAP",5675.53236,172408.23823,0.032919148285876
"12",2009 Q2,"RAS",6941.75684,213387.44207,0.0325312341375872
"13",2009 Q2,"RAT",6027.52024,191754.90097,0.031433461202345
"14",2009 Q2,"RAX",6047.1542,216335.80061,0.027952628196299
"15",2009 Q2,"RBA",9637.82346,324419.16138,0.0297079353112284
"16",2009 Q2,"RBB",812.36814,24162.16246,0.0336214997869028
"17",2009 Q2,"RBD",8677.90559,211470.57642,0.041035995347007
"18",2009 Q2,"RBF",2050.1243,70576.07357,0.0290484323694575
"19",2009 Q2,"RBK",10811.0996,224546.48823,0.0481463757693077
"20",2009 Q2,"RBL",21180.37226,453133.5783,0.0467420056122555
"21",2009 Q2,"RBN",15832.22628,328758.04006,0.0481576854427972
"22",2009 Q2,"RBQ",3797.75176,104534.41632,0.0363301570305262
"23",2009 Q2,"RBS",10869.2191,231448.90121,0.0469616362107421
"24",2009 Q2,"RBT",10786.6517,247972.33012,0.0434994166275732
"25",2009 Q2,"RBV",6562.80199,183204.60075,0.0358222553534863
"26",2009 Q2,"RBZ",6572.67041,192577.76125,0.0341299554389747
"27",2009 Q2,"RC1",7028.78075,183341.66667,0.0383370614965077
"28",2009 Q2,"RC3",4297.9468,132088.55581,0.0325383737723826
"29",2009 Q2,"RC9",8734.47376,251140.91603,0.0347791745688967
"30",2009 Q2,"RCB",13516.97197,338369.01612,0.0399474281806178
"31",2009 Q2,"RCC",6061.70141,166262.43993,0.0364586337873551
"32",2009 Q2,"RCD",6479.5368,178027.61033,0.0363962465596726
"33",2009 Q2,"RCF",6456.67074,196604.41176,0.0328409249934931
"34",2009 Q2,"RCU",4105.80534,150007.58924,0.0273706507837483
"35",2009 Q2,"RCX",7677.68426,205328.60781,0.0373921799884043
"36",2009 Q2,"RD1",11323.31852,304577.06055,0.0371771876041897
"37",2009 Q2,"RD3",10528.07883,291796.11053,0.036080257584234
"38",2009 Q2,"RD7",8749.62149,294598.85848,0.0297001201401261
"39",2009 Q2,"RD8",9461.64807,208212.49274,0.0454422688354968
"40",2009 Q2,"RDD",11983.93275,319627.34163,0.0374934531222694
"41",2009 Q2,"RDE",9481.13648,260996.31983,0.0363267056262538
"42",2009 Q2,"RDR",4176.53574,108244.31562,0.0385843424301563
"43",2009 Q2,"RDU",9556.41476,286004.73644,0.0334134842623657
"44",2009 Q2,"RDY",6768.57232,131861.96896,0.051330739055271
"45",2009 Q2,"RDZ",14788.35685,331896.51861,0.0445571315780425
"46",2009 Q2,"RE9",7679.05514,153560.99991,0.0500065455714706
"47",2009 Q2,"REF",18867.37208,402240.63352,0.0469056840799299
"48",2009 Q2,"REM",16538.57388,364056.69351,0.0454285669645179
"49",2009 Q2,"REN",1872.03785,55033.86292,0.034016108458919
"50",2009 Q2,"REP",5513.54963,112813.60688,0.0488730906003632
"51",2009 Q2,"RET",2970.98782,62304.2121,0.047685184032686
"52",2009 Q2,"RF4",14957.25761,442122.55921,0.0338305686928216
"53",2009 Q2,"RFF",10168.44361,212815.287,0.0477806070858058
"54",2009 Q2,"RFR",9860.31445,247464.00309,0.0398454495477223
"55",2009 Q2,"RFW",4979.99691,156848.73266,0.0317503165345627
"56",2009 Q2,"RGC",10023.88778,262495.71247,0.0381868628850294
"57",2009 Q2,"RGD",10025.28579,197525.61553,0.0507543579251744
"58",2009 Q2,"RGM",5058.80219,129863.51774,0.038954760182365
"59",2009 Q2,"RGN",8001.92553,262214.11094,0.0305167616697448
"60",2009 Q2,"RGP",9448.05008,223488.98951,0.0422752373650034
"61",2009 Q2,"RGQ",8876.55179,283576.94649,0.0313020924298337
"62",2009 Q2,"RGR",7442.97807,207741.13835,0.0358281375038013
"63",2009 Q2,"RGT",18306.66852,629306.60069,0.0290902216819715
"64",2009 Q2,"RH5",4887.34021,94803.38686,0.0515523798450084
"65",2009 Q2,"RH8",18827.98959,442772.84157,0.042522909768447
"66",2009 Q2,"RHA",25616.81169,485588.73006,0.052754131437183
"67",2009 Q2,"RHM",20667.42777,631323.22442,0.032736682210586
"68",2009 Q2,"RHQ",45578.0173,1070947.63603,0.0425585862152491
"69",2009 Q2,"RHU",17011.36076,565554.42526,0.0300790869988851
"70",2009 Q2,"RHW",10593.41568,365866.96142,0.0289542833790865
"71",2009 Q2,"RHX",3582.27899,91909.1818,0.0389762907235455
"72",2009 Q2,"RJ1",31919.88483,848233.23165,0.0376310236842629
"73",2009 Q2,"RJ2",7644.73697,194576.01453,0.0392892052417968
"74",2009 Q2,"RJ6",7625.92432,215441.92074,0.0353966595442822
"75",2009 Q2,"RJ7",17948.52138,502012.08125,0.0357531662092843
"76",2009 Q2,"RJ8",5066.61646,115602.34847,0.0438279717242495
"77",2009 Q2,"RJC",6123.66557,150539.06059,0.0406782501896839
"78",2009 Q2,"RJD",8767.0426,208697.77664,0.04200831815819
"79",2009 Q2,"RJE",25074.98739,565851.78045,0.0443137023799039
"80",2009 Q2,"RJF",8080.54938,200515.03031,0.040298970942514
"81",2009 Q2,"RJL",18613.29397,444551.91584,0.0418697868725397
"82",2009 Q2,"RJN",7021.12378,158118.41283,0.0444042136164668
"83",2009 Q2,"RJR",10918.60962,256135.84126,0.0426281990302039
"84",2009 Q2,"RJX",7266.71023,135223.39698,0.0537385570270415
"85",2009 Q2,"RJZ",13653.67894,546224.94639,0.0249964397090194
"86",2009 Q2,"RK5",14369.70686,314323.12698,0.0457163524620774
"87",2009 Q2,"RK9",22688.73981,504863.76144,0.0449403216132723
"88",2009 Q2,"RKB",21957.76171,515629.68753,0.0425843628499813
"89",2009 Q2,"RKE",6219.97838,199358.26571,0.0312000024571241
"90",2009 Q2,"RKL",15778.17228,335813.91212,0.0469848678406207
"91",2009 Q2,"RL1",3282.47335,86485.91585,0.0379538485282746
"92",2009 Q2,"RL4",12589.92873,374938.57139,0.0335786437851024
"93",2009 Q2,"RLN",17004.93843,395837.61569,0.0429593796950248
"94",2009 Q2,"RLQ",4687.76586,132961.39647,0.0352565931500103
"95",2009 Q2,"RLT",6256.32117,146408.73476,0.0427318846806214
"96",2009 Q2,"RLU",4703.42281,120741.50109,0.0389544834836375
"97",2009 Q2,"RLY",7247.67262,168475.47223,0.0430191559879149
"98",2009 Q2,"RM1",17012.3663,465691.68982,0.0365313933486244
"99",2009 Q2,"RM2",18843.11112,369000.75124,0.0510652378258828
"100",2009 Q2,"RM3",13913.2279,391987.80456,0.0354940325646543
"101",2009 Q2,"RM4",7090.4359,136748.44694,0.0518502115282597
"102",2009 Q2,"RMC",12489.56683,286266.46081,0.0436291656195433
"103",2009 Q2,"RMP",6666.53376,182936.15568,0.0364418599222201
"104",2009 Q2,"RMY",10449.40314,200811.83513,0.0520357932750097
"105",2009 Q2,"RN1",6104.08914,206049.10187,0.0296244394399311
"106",2009 Q2,"RN3",10272.94336,233077.33069,0.0440752574675026
"107",2009 Q2,"RN5",7005.38463,213145.31089,0.0328667076969633
"108",2009 Q2,"RN7",5055.81783,156949.55885,0.0322130107726646
"109",2009 Q2,"RNA",9700.6461,273390.67782,0.0354827244928479
"110",2009 Q2,"RNH",7070.00347,205241.98271,0.0344471602576052
"111",2009 Q2,"RNJ",18068.24945,577244.67777,0.0313008506545282
"112",2009 Q2,"RNK",526.96145,35395.29236,0.0148878965213893
"113",2009 Q2,"RNL",13133.06514,281032.25917,0.0467315217789843
"114",2009 Q2,"RNN",5636.59403,112897.40338,0.049926693274139
"115",2009 Q2,"RNQ",11464.68929,265910.36295,0.043114864583731
"116",2009 Q2,"RNS",13461.76224,317182.84977,0.0424416460403253
"117",2009 Q2,"RNU",8075.86881,215411.33868,0.0374904536571167
"118",2009 Q2,"RNZ",9444.01926,253756.99346,0.0372167841809202
"119",2009 Q2,"RP1",8039.86749,164025.53573,0.0490159501946959
"120",2009 Q2,"RP4",7194.0555,290350.52541,0.0247771395964976
"121",2009 Q2,"RP5",21110.90166,475703.22536,0.0443783025520246
"122",2009 Q2,"RP7",7615.41365,157095.41096,0.0484763597068985
"123",2009 Q2,"RPA",10133.47985,289222.11967,0.0350370153623181
"124",2009 Q2,"RPC",2611.34049,72598.43304,0.0359696536227058
"125",2009 Q2,"RPG",7951.66406,159503.27218,0.0498526704268895
"126",2009 Q2,"RPY",5183.23226,207172.32337,0.025018941602267
"127",2009 Q2,"RQ3",7388.32972,231995.76963,0.0318468294994487
"128",2009 Q2,"RQ6",20826.42998,498976.5482,0.0417382942247064
"129",2009 Q2,"RQ8",11926.82587,283503.53966,0.0420694072613823
"130",2009 Q2,"RQM",5833.11383,242701.11292,0.0240341453725543
"131",2009 Q2,"RQQ",4897.24817,127891.0723,0.0382923380180307
"132",2009 Q2,"RQW",9249.71986,227890.12511,0.0405885066565972
"133",2009 Q2,"RQX",5907.49811,184337.4065,0.0320472020419795
"134",2009 Q2,"RQY",8989.54469,211573.88707,0.0424889139888316
"135",2009 Q2,"RR1",31303.01837,765617.07183,0.0408859983949661
"136",2009 Q2,"RR7",13193.39525,269665.51903,0.0489250360871397
"137",2009 Q2,"RR8",52574.61794,1231149.85644,0.0427036706092182
"138",2009 Q2,"RRD",7442.7411,145540.29925,0.0511386958688008
"139",2009 Q2,"RRE",13247.63448,270878.49419,0.0489061876972331
"140",2009 Q2,"RRF",14826.62477,324799.31677,0.0456485713007185
"141",2009 Q2,"RRJ",2323.38385,69228.69929,0.0335609923894036
"142",2009 Q2,"RRK",23526.98637,567772.31497,0.0414373609802428
"143",2009 Q2,"RRP",6347.56355,197870.09621,0.0320794484441111
"144",2009 Q2,"RRU",16065.38784,392973.34553,0.0408816221831349
"145",2009 Q2,"RRV",16736.16085,546718.83196,0.0306120072542599
"146",2009 Q2,"RT1",7273.56076,211248.72951,0.0344312639269894
"147",2009 Q2,"RT2",9996.71134,199016.33284,0.0502306076960874
"148",2009 Q2,"RT3",4993.28759,234676.61713,0.0212773119498052
"149",2009 Q2,"RT5",11656.03316,231458.73501,0.050359011767244
"150",2009 Q2,"RT6",7529.48906,158104.32914,0.0476235476976263
"151",2009 Q2,"RTD",35684.21659,859426.01571,0.0415209871911081
"152",2009 Q2,"RTE",20433.95237,571485.91502,0.0357558285041634
"153",2009 Q2,"RTF",20329.63429,435395.90195,0.0466922959057493
"154",2009 Q2,"RTG",22280.56156,561542.45151,0.0396774304419676
"155",2009 Q2,"RTH",22946.9295,724867.5746,0.0316567195224075
"156",2009 Q2,"RTK",7995.11082,267547.96754,0.029882906207481
"157",2009 Q2,"RTP",8605.18491,228180.3645,0.0377122059948327
"158",2009 Q2,"RTQ",5279.35714,130515.6798,0.0404499838493735
"159",2009 Q2,"RTR",24324.80345,554524.10036,0.0438660888394358
"160",2009 Q2,"RTV",10108.96862,175523.81395,0.0575931458672591
"161",2009 Q2,"RTX",13475.11201,356206.63274,0.0378294809008671
"162",2009 Q2,"RV3",10544.62176,301873.56754,0.0349305898026424
"163",2009 Q2,"RV5",16452.692,405553.27085,0.0405685101873713
"164",2009 Q2,"RV7",6403.88125,116301.86301,0.0550625852781857
"165",2009 Q2,"RV8",10767.69371,373551.34368,0.028825204064114
"166",2009 Q2,"RV9",7449.53182,143242.28812,0.0520065123070306
"167",2009 Q2,"RVJ",24687.08775,653428.88901,0.0377808330259212
"168",2009 Q2,"RVL",12517.23487,350523.03828,0.0357101631077417
"169",2009 Q2,"RVN",15739.38234,307450.82893,0.0511931693102819
"170",2009 Q2,"RVR",14360.32872,332078.35987,0.0432437956078249
"171",2009 Q2,"RVV",20249.37401,579640.49729,0.0349343672581059
"172",2009 Q2,"RVW",17839.07662,405693.60556,0.0439717963889911
"173",2009 Q2,"RVY",8341.9122,222534.46925,0.0374859329797961
"174",2009 Q2,"RW1",12705.57522,342756.9064,0.0370687650132205
"175",2009 Q2,"RW3",29433.70935,675587.44146,0.0435675791817434
"176",2009 Q2,"RW4",17110.33824,338270.04004,0.0505818908407517
