"","date","trust_code","Total","Professionally qualified clinical staff","HCHS Doctors","Consultant","Associate Specialist","Specialty Doctor","Staff Grade","Specialty Registrar","Core Training","Foundation Doctor Year 2","Foundation Doctor Year 1","Hospital Practitioner / Clinical Assistant","Other and Local HCHS Doctor Grades","Nurses & health visitors","Midwives","Ambulance staff","Scientific, therapeutic & technical staff","Support to clinical staff","Support to doctors, nurses & midwives","Support to ambulance staff","Support to ST&T staff","NHS infrastructure support","Central functions","Hotel, property & estates","Senior managers","Managers","Other staff or those with unknown classification","managers","all_doctors","nurses"
"1",2019 Q1,"00J",1.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,1,1,0,0,0,0,0,0,0
"2",2019 Q1,"00M",509.31476,86.45881,25.66547,0.96904,0,0,0,0,0,0,0,22.95043,1.746,53.19334,0,0,7.6,0.7,0.7,0,0,421.75595,339.66195,0,45.69833,36.39567,0.4,82.094,28.38051,53.19334
"3",2019 Q1,"00P",6.82,1.32,0.32,0,0,0,0,0,0,0,0,0.32,0,1,0,0,0,0,0,0,0,5.5,4.5,0,1,0,0,1,0.32,1
"4",2019 Q1,"00Q",34.85624,10.05697,1.9703,0.968,0,0,0,0,0,0,0,0.469,0.5333,1.83333,0,0,6.25334,0,0,0,0,23.79927,5.62667,0,6.5726,11.6,1,18.1726,3.4716,1.83333
"5",2019 Q1,"00R",63.59335,5.26667,1.6,0,0,0,1.6,0,0,0,0,0,0,3,0,0,0.66667,10.86667,10.86667,0,0,47.46001,15.6,0,14.16667,17.69334,0,31.86001,1.6,3
"6",2019 Q1,"00T",137.2068,45.37348,5.12682,0,0,0,0,0,0,0,0,5.12682,0,16.7,0,0,23.54666,0,0,0,0,90.83332,56.07332,0,5,29.76,1,34.76,5.12682,16.7
"7",2019 Q1,"00V",75.32467,10.638,2.392,0,0,0,0,0,0,0,0,0.1,2.292,2.446,0,0,5.8,0,0,0,0,64.68667,43.46,0,11.72,9.50667,0,21.22667,4.684,2.446
"8",2019 Q1,"00X",79.73802,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,70.73802,26.68,0,25.15802,18.9,2,44.05802,0,6
"9",2019 Q1,"00Y",439.42469,36.17346,1.19347,0.77778,0,0,0,0,0,0,0,0,0.41569,7.15333,0,0,27.82666,0,0,0,0,397.25123,328.02455,0,32.46667,36.76001,6,69.22668,2.38694,7.15333
"10",2019 Q1,"01A",103.72054,33.09143,5.3781,0.42667,0,0,0,1,0,0,0,3.4181,0.53333,8.06,0,0,19.65333,0.1151,0.1151,0,0,68.51401,31.7,0,12.184,24.63001,2,36.81401,7.3381,8.06
"11",2019 Q1,"01C",53.62921,3.19588,0.19588,0,0,0,0,0,0,0,0,0.19588,0,2,0,0,1,0,0,0,0,50.43333,24.84,0,5.9,19.69333,0,25.59333,0.19588,2
