,cal_quarter,PROCODE,elective_proportion,emergency_proportion
1,Q1   2018,R0A,0.257576377,0.742423623
2,Q1   2018,R1F,0.112623341,0.887376659
3,Q1   2018,R1H,0.18637954,0.81362046
4,Q1   2018,R1K,0.119482417,0.880517583
5,Q1   2018,RA2,0.215400387,0.784599613
6,Q1   2018,RA4,0.119437115,0.880562885
7,Q1   2018,RA7,0.235065428,0.764934572
8,Q1   2018,RA9,0.082057774,0.917942226
9,Q1   2018,RAE,0.077660145,0.922339855
10,Q1   2018,RAJ,0.141891892,0.858108108
11,Q1   2018,RAL,0.202089918,0.797910082
12,Q1   2018,RAP,0.06173032,0.93826968
13,Q1   2018,RAS,0.125982845,0.874017155
14,Q1   2018,RAX,0.120011912,0.879988088
15,Q1   2018,RBK,0.094316953,0.905683047
16,Q1   2018,RBL,0.136619478,0.863380522
17,Q1   2018,RBN,0.124004384,0.875995616
18,Q1   2018,RBT,0.073667325,0.926332675
19,Q1   2018,RBZ,0.170026129,0.829973871
20,Q1   2018,RC9,0.149549722,0.850450278
21,Q1   2018,RCB,0.113870043,0.886129957
22,Q1   2018,RCD,0.180578859,0.819421141
23,Q1   2018,RCF,0.121195553,0.878804447
24,Q1   2018,RCX,0.113633704,0.886366296
25,Q1   2018,RD1,0.107706787,0.892293213
26,Q1   2018,RD8,0.116585366,0.883414634
27,Q1   2018,RDE,0.151505613,0.848494387
28,Q1   2018,RDU,0.171655548,0.828344452
29,Q1   2018,REF,0.163736675,0.836263325
30,Q1   2018,REM,0.106045448,0.893954552
31,Q1   2018,RF4,0.117832262,0.882167738
32,Q1   2018,RFF,0.080674215,0.919325785
33,Q1   2018,RFR,0.166691252,0.833308748
34,Q1   2018,RFS,0.09646953,0.90353047
35,Q1   2018,RGN,0.171660472,0.828339528
36,Q1   2018,RGP,0.09790328,0.90209672
37,Q1   2018,RGR,0.116611138,0.883388862
38,Q1   2018,RGT,0.23378521,0.76621479
39,Q1   2018,RH5,NA,1
40,Q1   2018,RH8,0.253877926,0.746122074
41,Q1   2018,RHM,0.223876749,0.776123251
42,Q1   2018,RHQ,0.262201573,0.737798427
43,Q1   2018,RHU,0.160058415,0.839941585
44,Q1   2018,RHW,0.153386454,0.846613546
45,Q1   2018,RJ1,0.370176716,0.629823284
46,Q1   2018,RJ2,0.055863464,0.944136536
47,Q1   2018,RJ6,0.10688,0.89312
48,Q1   2018,RJ7,0.278380187,0.721619813
49,Q1   2018,RJC,0.158429482,0.841570518
50,Q1   2018,RJE,0.128874764,0.871125236
51,Q1   2018,RJL,0.118654073,0.881345927
52,Q1   2018,RJN,0.057354926,0.942645074
53,Q1   2018,RJR,0.134779357,0.865220643
54,Q1   2018,RJZ,0.289322547,0.710677453
55,Q1   2018,RK5,0.135776342,0.864223658
56,Q1   2018,RK9,0.174114267,0.825885733
57,Q1   2018,RKB,0.195115598,0.804884402
58,Q1   2018,RKE,0.117288854,0.882711146
59,Q1   2018,RL4,0.163968825,0.836031175
60,Q1   2018,RLQ,0.126842433,0.873157567
61,Q1   2018,RLT,0.075081289,0.924918711
62,Q1   2018,RM1,0.215690263,0.784309737
63,Q1   2018,RM3,0.185729794,0.814270206
64,Q1   2018,RMC,0.120358348,0.879641652
65,Q1   2018,RMP,0.101105273,0.898894727
66,Q1   2018,RN3,0.127023769,0.872976231
67,Q1   2018,RN5,0.151757899,0.848242101
68,Q1   2018,RN7,0.26256215,0.73743785
69,Q1   2018,RNA,0.143174744,0.856825256
70,Q1   2018,RNN,0.412601626,0.587398374
71,Q1   2018,RNQ,0.115749526,0.884250474
72,Q1   2018,RNS,0.088870432,0.911129568
73,Q1   2018,RNZ,0.17003068,0.82996932
74,Q1   2018,RP5,0.134961897,0.865038103
75,Q1   2018,RPA,0.141287284,0.858712716
76,Q1   2018,RQM,0.121632838,0.878367162
77,Q1   2018,RQW,0.115688659,0.884311341
78,Q1   2018,RQX,0.127614661,0.872385339
79,Q1   2018,RR7,0.161992793,0.838007207
80,Q1   2018,RR8,0.221193759,0.778806241
81,Q1   2018,RRF,0.195035461,0.804964539
82,Q1   2018,RRK,0.190989883,0.809010117
83,Q1   2018,RRV,0.427704507,0.572295493
84,Q1   2018,RTD,0.332996072,0.667003928
85,Q1   2018,RTE,0.190631737,0.809368263
86,Q1   2018,RTF,0.099296112,0.900703888
87,Q1   2018,RTG,0.156475914,0.843524086
88,Q1   2018,RTH,0.197860109,0.802139891
89,Q1   2018,RTK,0.184015927,0.815984073
90,Q1   2018,RTP,0.130250172,0.869749828
91,Q1   2018,RTR,0.256558642,0.743441358
92,Q1   2018,RTX,0.125145654,0.874854346
93,Q1   2018,RVJ,0.189185651,0.810814349
94,Q1   2018,RVR,0.172142857,0.827857143
95,Q1   2018,RVV,0.177497575,0.822502425
96,Q1   2018,RVW,0.134383689,0.865616311
97,Q1   2018,RVY,0.127731806,0.872268194
98,Q1   2018,RWA,0.226741404,0.773258596
99,Q1   2018,RWD,0.150853431,0.849146569
100,Q1   2018,RWE,0.134474028,0.865525972
101,Q1   2018,RWF,0.097717654,0.902282346
102,Q1   2018,RWG,0.1223733,0.8776267
103,Q1   2018,RWH,0.172862454,0.827137546
104,Q1   2018,RWJ,0.11895305,0.88104695
105,Q1   2018,RWP,0.146958082,0.853041918
106,Q1   2018,RWW,0.156695157,0.843304843
107,Q1   2018,RWY,0.087618229,0.912381771
108,Q1   2018,RX1,0.174939241,0.825060759
109,Q1   2018,RXC,0.136183758,0.863816242
110,Q1   2018,RXF,0.127936242,0.872063758
111,Q1   2018,RXK,0.123338322,0.876661678
112,Q1   2018,RXL,0.153496919,0.846503081
113,Q1   2018,RXN,0.176886994,0.823113006
114,Q1   2018,RXP,0.103197058,0.896802942
115,Q1   2018,RXQ,0.155131563,0.844868437
116,Q1   2018,RXR,0.174697837,0.825302163
117,Q1   2018,RXW,0.091990352,0.908009648
118,Q1   2018,RYJ,0.274217385,0.725782615
119,Q1   2018,RYR,0.095482546,0.904517454
120,Q1   2019,R0A,0.23356517,0.76643483
121,Q1   2019,R1F,0.132778805,0.867221195
122,Q1   2019,R1H,0.163006246,0.836993754
123,Q1   2019,R1K,0.116909522,0.883090478
124,Q1   2019,RA2,0.187587696,0.812412304
125,Q1   2019,RA4,0.118867303,0.881132697
126,Q1   2019,RA7,0.228873239,0.771126761
127,Q1   2019,RA9,0.096701817,0.903298183
128,Q1   2019,RAE,0.112957708,0.887042292
129,Q1   2019,RAJ,0.134230597,0.865769403
130,Q1   2019,RAL,0.176112656,0.823887344
131,Q1   2019,RAP,0.050950035,0.949049965
132,Q1   2019,RAS,0.162471826,0.837528174
133,Q1   2019,RAX,0.122668768,0.877331232
134,Q1   2019,RBK,0.099159075,0.900840925
135,Q1   2019,RBL,0.149494775,0.850505225
136,Q1   2019,RBN,0.117891621,0.882108379
137,Q1   2019,RBT,0.079508949,0.920491051
138,Q1   2019,RBZ,0.206785444,0.793214556
139,Q1   2019,RC9,0.157394966,0.842605034
140,Q1   2019,RCB,0.122737674,0.877262326
141,Q1   2019,RCD,0.174085064,0.825914936
142,Q1   2019,RCF,0.108190819,0.891809181
143,Q1   2019,RCX,0.133657889,0.866342111
144,Q1   2019,RD1,0.100562852,0.899437148
145,Q1   2019,RD8,0.117889318,0.882110682
146,Q1   2019,RDE,0.152698754,0.847301246
147,Q1   2019,RDU,0.160771568,0.839228432
148,Q1   2019,REF,0.180670477,0.819329523
149,Q1   2019,REM,0.101113413,0.898886587
150,Q1   2019,RF4,0.117668488,0.882331512
151,Q1   2019,RFF,0.077812464,0.922187536
152,Q1   2019,RFR,0.16341155,0.83658845
153,Q1   2019,RFS,0.097532315,0.902467685
154,Q1   2019,RGN,0.192421508,0.807578492
155,Q1   2019,RGP,0.12557217,0.87442783
156,Q1   2019,RGR,0.118631517,0.881368483
157,Q1   2019,RGT,0.220665624,0.779334376
158,Q1   2019,RH5,NA,1
159,Q1   2019,RH8,0.232341503,0.767658497
160,Q1   2019,RHM,0.226450009,0.773549991
161,Q1   2019,RHQ,0.255046928,0.744953072
162,Q1   2019,RHU,0.164088325,0.835911675
163,Q1   2019,RHW,0.147127104,0.852872896
164,Q1   2019,RJ1,0.34640603,0.65359397
165,Q1   2019,RJ2,0.080200501,0.919799499
