,cal_quarter,PROCODE,los_unadjusted
1,Q1   2018,R0A,8.122709255
2,Q1   2018,R1F,9.364811912
3,Q1   2018,R1H,6.769234826
4,Q1   2018,R1K,7.829647765
5,Q1   2018,RA2,6.001042209
6,Q1   2018,RA4,7.360106383
7,Q1   2018,RA7,7.013881544
8,Q1   2018,RA9,6.241732416
9,Q1   2018,RAE,5.592707686
10,Q1   2018,RAJ,5.974458706
11,Q1   2018,RAL,7.02748182
12,Q1   2018,RAP,7.199958211
13,Q1   2018,RAS,7.336329752
14,Q1   2018,RAX,6.747712418
15,Q1   2018,RBK,7.90732225
16,Q1   2018,RBL,9.849968214
17,Q1   2018,RBN,7.054503729
18,Q1   2018,RBT,8.055881757
19,Q1   2018,RBZ,6.200058841
20,Q1   2018,RC9,7.165572367
21,Q1   2018,RCB,7.447612855
22,Q1   2018,RCD,7.472401233
23,Q1   2018,RCF,6.563687009
24,Q1   2018,RCX,6.692731278
25,Q1   2018,RD1,7.469286794
26,Q1   2018,RD8,7.56062425
27,Q1   2018,RDE,6.101334052
28,Q1   2018,RDU,7.166831781
29,Q1   2018,REF,6.445249095
30,Q1   2018,REM,7.51670658
31,Q1   2018,RF4,7.374962801
32,Q1   2018,RFF,5.831810491
33,Q1   2018,RFR,5.51365564
34,Q1   2018,RFS,6.151791229
35,Q1   2018,RGN,6.406135576
36,Q1   2018,RGP,7.908679928
37,Q1   2018,RGR,6.665218965
38,Q1   2018,RGT,7.815611431
39,Q1   2018,RH5,38.72321429
40,Q1   2018,RH8,7.242406942
41,Q1   2018,RHM,7.834359019
42,Q1   2018,RHQ,7.619180523
43,Q1   2018,RHU,8.610302792
44,Q1   2018,RHW,6.680119776
45,Q1   2018,RJ1,6.1435351
46,Q1   2018,RJ2,8.237487174
47,Q1   2018,RJ6,7.140548393
48,Q1   2018,RJ7,6.876403416
49,Q1   2018,RJC,7.521533072
50,Q1   2018,RJE,8.031993839
51,Q1   2018,RJL,7.039704759
52,Q1   2018,RJN,8.601470588
53,Q1   2018,RJR,8.821378899
54,Q1   2018,RJZ,8.073167022
55,Q1   2018,RK5,7.529482012
56,Q1   2018,RK9,6.90298163
57,Q1   2018,RKB,7.41590692
58,Q1   2018,RKE,7.600928903
59,Q1   2018,RL4,7.886570561
60,Q1   2018,RLQ,7.790326665
61,Q1   2018,RLT,8.116193656
62,Q1   2018,RM1,6.195300042
63,Q1   2018,RM3,8.516679698
64,Q1   2018,RMC,6.927873057
65,Q1   2018,RMP,8.064312442
66,Q1   2018,RN3,6.575368826
67,Q1   2018,RN5,7.704759633
68,Q1   2018,RN7,8.379032258
69,Q1   2018,RNA,6.922241356
70,Q1   2018,RNN,25.08254963
71,Q1   2018,RNQ,8.402278275
72,Q1   2018,RNS,9.317645231
73,Q1   2018,RNZ,7.744623656
74,Q1   2018,RP5,6.471079557
75,Q1   2018,RPA,6.680151339
76,Q1   2018,RQM,6.606302021
77,Q1   2018,RQW,8.361952862
78,Q1   2018,RQX,6.631644622
79,Q1   2018,RR7,7.470064148
80,Q1   2018,RR8,8.9713446
81,Q1   2018,RRF,5.507814848
82,Q1   2018,RRK,7.582439941
83,Q1   2018,RRV,6.689912281
84,Q1   2018,RTD,7.362871646
85,Q1   2018,RTE,6.070067657
86,Q1   2018,RTF,7.543438476
87,Q1   2018,RTG,6.44600939
88,Q1   2018,RTH,6.200736083
89,Q1   2018,RTK,6.549005555
90,Q1   2018,RTP,7.809577465
91,Q1   2018,RTR,6.731449996
92,Q1   2018,RTX,7.461526787
93,Q1   2018,RVJ,7.692578548
94,Q1   2018,RVR,7.60690213
95,Q1   2018,RVV,6.737028788
96,Q1   2018,RVW,6.689298995
97,Q1   2018,RVY,7.893393393
98,Q1   2018,RWA,6.156160912
99,Q1   2018,RWD,6.857772878
100,Q1   2018,RWE,6.847066652
101,Q1   2018,RWF,7.58986285
102,Q1   2018,RWG,7.792004473
103,Q1   2018,RWH,6.381075674
104,Q1   2018,RWJ,8.030627127
105,Q1   2018,RWP,6.900443195
106,Q1   2018,RWW,8.464444875
107,Q1   2018,RWY,6.907044299
108,Q1   2018,RX1,7.307408509
109,Q1   2018,RXC,7.976828385
110,Q1   2018,RXF,7.428353076
111,Q1   2018,RXK,6.672098214
112,Q1   2018,RXL,8.983756607
113,Q1   2018,RXN,8.013040969
114,Q1   2018,RXP,6.87699408
115,Q1   2018,RXQ,8.628024761
116,Q1   2018,RXR,7.543195392
117,Q1   2018,RXW,6.815633423
118,Q1   2018,RYJ,7.344786629
119,Q1   2018,RYR,8.201431493
120,Q1   2019,R0A,7.902738589
121,Q1   2019,R1F,9.410727682
122,Q1   2019,R1H,7.122202025
123,Q1   2019,R1K,7.709370367
124,Q1   2019,RA2,6.209656085
125,Q1   2019,RA4,6.87242268
126,Q1   2019,RA7,6.470936214
127,Q1   2019,RA9,6.457133614
128,Q1   2019,RAE,5.294384338
129,Q1   2019,RAJ,5.834551148
130,Q1   2019,RAL,6.733446795
131,Q1   2019,RAP,6.895114943
132,Q1   2019,RAS,6.637137246
133,Q1   2019,RAX,5.933084732
134,Q1   2019,RBK,7.608656284
135,Q1   2019,RBL,7.449196106
136,Q1   2019,RBN,6.566375694
137,Q1   2019,RBT,7.988170347
