CatchmentYear,TrustCode,trust_total_catchment
2020,R0A,1521533
2020,R0B,470445
2020,R0D,526691
2020,R1F,106295
2020,R1H,1066953
2020,R1K,519432
2020,RA2,323150
2020,RA4,123332
2020,RA7,744653
2020,RA9,231423
2020,RAE,376141
2020,RAJ,998600
2020,RAL,676227
2020,RAN,164723
2020,RAP,202746
2020,RAS,187304
2020,RAX,285688
2020,RBD,170832
2020,RBK,200042
2020,RBL,267577
2020,RBN,339106
2020,RBQ,50304
2020,RBS,356263
2020,RBT,221518
2020,RBV,107976
2020,RBZ,144357
2020,RC9,562301
2020,RCB,462072
2020,RCD,213152
2020,RCF,166574
2020,RCU,281881
2020,RCX,192106
2020,RD1,355202
2020,RD8,245764
2020,RDE,646089
2020,RDU,674115
2020,REF,421838
2020,REM,557407
2020,REN,14589
2020,REP,84907
2020,RET,48084
2020,RF4,469775
2020,RFF,195565
2020,RFR,198547
2020,RFS,217643
2020,RGM,128516
2020,RGN,467171
2020,RGP,186944
2020,RGR,217218
2020,RGT,658972
2020,RH5,314950
2020,RH8,457186
2020,RHM,739911
2020,RHQ,753182
2020,RHU,568594
2020,RHW,445712
2020,RJ1,1382186
2020,RJ2,366475
2020,RJ6,237212
2020,RJ7,589437
2020,RJC,238044
2020,RJE,632952
2020,RJL,313929
2020,RJN,123905
2020,RJR,188523
2020,RJZ,852160
2020,RK5,291492
2020,RK9,472784
2020,RKB,570368
2020,RKE,186090
2020,RL1,96431
2020,RL4,431600
2020,RLQ,169970
2020,RLT,143900
2020,RM1,629265
2020,RM3,438353
2020,RMC,280729
2020,RMP,173039
2020,RN3,322320
2020,RN5,418308
2020,RN7,258280
2020,RNA,326091
2020,RNN,222385
2020,RNQ,281661
2020,RNS,324779
2020,RNZ,232203
2020,RP4,499882
2020,RP5,358563
2020,RP6,256096
2020,RPA,271648
2020,RPC,181055
2020,RPY,120013
2020,RQ3,537500
2020,RQM,527050
2020,RQW,203338
2020,RQX,328060
2020,RR7,155906
2020,RR8,988788
2020,RRF,309069
2020,RRJ,143871
2020,RRK,1046291
2020,RRV,791639
2020,RTD,865161
2020,RTE,577712
2020,RTF,327581
2020,RTG,824631
2020,RTH,910400
2020,RTK,317767
2020,RTP,331844
2020,RTR,525469
2020,RTX,267443
2020,RVJ,478522
2020,RVR,359587
2020,RVV,615742
2020,RVW,217223
2020,RVY,123471
2020,RWA,549271
2020,RWD,455307
2020,RWE,995015
2020,RWF,442553
2020,RWG,358418
2020,RWH,417038
2020,RWJ,252570
2020,RWP,452843
2020,RWW,201328
2020,RWY,381042
2020,RX1,930151
2020,RXC,309726
2020,RXF,475220
2020,RXK,428597
2020,RXL,261280
2020,RXN,483969
2020,RXP,331271
2020,RXQ,384641
2020,RXR,434807
2020,RXW,344836
2020,RYJ,754042
2020,RYR,913895
2019,R0A,1494170
2019,R0B,466891
2019,R0D,518408
2019,R1F,106861
2019,R1H,1077762
2019,R1K,517188
2019,RA2,320507
2019,RA4,126388
2019,RA7,747871
2019,RA9,229352
2019,RAE,379667
2019,RAJ,990286
2019,RAL,691366
2019,RAN,159710
2019,RAP,193817
2019,RAS,191283
2019,RAX,279490
2019,RBD,173453
2019,RBK,195828
2019,RBL,267382
2019,RBN,331812
2019,RBQ,46769
2019,RBS,335417
2019,RBT,224278
2019,RBV,95651
2019,RBZ,141419
2019,RC9,558911
2019,RCB,456655
2019,RCD,214858
2019,RCF,165637
2019,RCU,264807
2019,RCX,196910
2019,RD1,353038
2019,RD8,241999
2019,RDE,655959
2019,RDU,677530
2019,REF,416188
2019,REM,561137
2019,REN,13302
2019,REP,90703
2019,RET,50848
2019,RF4,473739
2019,RFF,195190
2019,RFR,200664
2019,RFS,218925
2019,RGM,126216
2019,RGN,475064
2019,RGP,191934
2019,RGR,221792
2019,RGT,639390
2019,RH5,305550
2019,RH8,460821
2019,RHM,718540
2019,RHQ,739269
2019,RHU,574130
2019,RHW,443514
2019,RJ1,1373850
2019,RJ2,361723
2019,RJ6,226676
2019,RJ7,572999
2019,RJC,232688
2019,RJE,623966
2019,RJL,312060
2019,RJN,130934
2019,RJR,188561
2019,RJZ,872235
2019,RK5,296761
2019,RK9,469269
2019,RKB,556335
2019,RKE,174984
2019,RL1,101601
2019,RL4,428037
2019,RLQ,167513
2019,RLT,144810
2019,RM1,612828
2019,RM3,439001
2019,RMC,287951
2019,RMP,178515
2019,RN3,319494
2019,RN5,417805
2019,RN7,255855
2019,RNA,326770
2019,RNN,227545
2019,RNQ,279010
2019,RNS,326601
2019,RNZ,234419
2019,RP4,453782
2019,RP5,370072
2019,RP6,263828
2019,RPA,271816
2019,RPC,187869
2019,RPY,103813
2019,RQ3,507706
2019,RQM,571689
2019,RQW,207988
2019,RQX,323686
2019,RR7,155740
2019,RR8,965154
2019,RRF,319018
2019,RRJ,140531
2019,RRK,1084603
2019,RRV,770092
2019,RTD,858658
2019,RTE,573304
2019,RTF,312567
2019,RTG,837908
2019,RTH,904410
2019,RTK,316777
2019,RTP,324295
2019,RTR,529257
2019,RTX,267660
2019,RVJ,465512
2019,RVR,359847
2019,RVV,622049
2019,RVW,216841
2019,RVY,126715
2019,RWA,553841
2019,RWD,457912
2019,RWE,991071
2019,RWF,439739
2019,RWG,359073
2019,RWH,409412
2019,RWJ,258815
2019,RWP,458863
2019,RWW,210518
2019,RWY,389888
2019,RX1,899087
2019,RXC,312027
2019,RXF,469730
2019,RXK,423941
2019,RXL,262623
2019,RXN,478625
2019,RXP,338868
2019,RXQ,388917
2019,RXR,430474
2019,RXW,338179
2019,RYJ,735830
2019,RYR,915086
2018,R0A,1525971
2018,R0B,443754
2018,R0D,520962
2018,R1F,106849
2018,R1H,1073878
2018,R1K,515544
2018,RA2,321550
2018,RA4,128355
2018,RA7,744632
2018,RA9,228192
2018,RAE,385741
2018,RAJ,998511
2018,RAL,718787
2018,RAN,161179
2018,RAP,192366
2018,RAS,192762
2018,RAX,275689
2018,RBD,173409
2018,RBK,191048
2018,RBL,269869
2018,RBN,322746
2018,RBQ,47110
2018,RBS,324368
2018,RBT,220815
2018,RBV,87583
2018,RBZ,140331
2018,RC9,552450
2018,RCB,452901
2018,RCD,204621
2018,RCF,156721
2018,RCU,259074
2018,RCX,197038
2018,RD1,350505
2018,RD8,237845
2018,RDE,656405
2018,RDU,675748
2018,REF,413044
2018,REM,544757
2018,REN,11528
2018,REP,94135
2018,RET,52075
2018,RF4,473443
2018,RFF,185327
2018,RFR,206192
2018,RFS,217565
2018,RGM,126980
2018,RGN,489890
2018,RGP,189482
2018,RGR,223798
2018,RGT,616241
2018,RH5,302610
2018,RH8,456591
2018,RHM,708175
2018,RHQ,730756
2018,RHU,577636
2018,RHW,448847
2018,RJ1,1296276
2018,RJ2,359286
2018,RJ6,221742
2018,RJ7,564286
2018,RJC,223730
2018,RJE,618005
2018,RJL,314646
2018,RJN,132650
2018,RJR,187826
2018,RJZ,878537
2018,RK5,301169
2018,RK9,468524
2018,RKB,551704
2018,RKE,165586
2018,RL1,102657
2018,RL4,425093
2018,RLQ,166397
2018,RLT,145994
2018,RM1,610594
2018,RM3,421663
2018,RMC,282914
2018,RMP,178601
2018,RN3,318008
2018,RN5,415793
2018,RN7,254699
2018,RNA,323205
2018,RNN,223239
2018,RNQ,276124
2018,RNS,327210
2018,RNZ,231251
2018,RP4,440676
2018,RP5,373071
2018,RP6,260745
2018,RPA,273092
2018,RPC,187762
2018,RPY,104013
2018,RQ3,496795
2018,RQM,589574
2018,RQW,213522
2018,RQX,311822
2018,RR7,158540
2018,RR8,962779
2018,RRF,314536
2018,RRJ,140952
2018,RRK,1096189
2018,RRV,770086
2018,RTD,860328
2018,RTE,571951
2018,RTF,301269
2018,RTG,834830
2018,RTH,910692
2018,RTK,311549
2018,RTP,319962
2018,RTR,527289
2018,RTX,266678
2018,RVJ,461395
2018,RVR,363349
2018,RVV,626386
2018,RVW,213326
2018,RVY,131276
2018,RWA,552447
2018,RWD,460886
2018,RWE,987598
2018,RWF,436933
2018,RWG,352850
2018,RWH,400630
2018,RWJ,255486
2018,RWP,459352
2018,RWW,220189
2018,RWY,394671
2018,RX1,869630
2018,RXC,315387
2018,RXF,468323
2018,RXK,422683
2018,RXL,262911
2018,RXN,472270
2018,RXP,367454
2018,RXQ,390254
2018,RXR,423844
2018,RXW,332282
2018,RYJ,710343
2018,RYR,909858
2017,R0A,1499889
2017,R0B,441491
2017,R0D,523065
2017,R1F,107244
2017,R1H,1067574
2017,R1K,524087
2017,RA2,325913
2017,RA4,129530
2017,RA7,736367
2017,RA9,227684
2017,RAE,391409
2017,RAJ,1008938
2017,RAL,746448
2017,RAN,163517
2017,RAP,192738
2017,RAS,192631
2017,RAX,269079
2017,RBD,172447
2017,RBK,192071
2017,RBL,274460
2017,RBN,310232
2017,RBQ,47452
2017,RBS,310317
2017,RBT,217597
2017,RBV,90807
2017,RBZ,141894
2017,RC9,545588
2017,RCB,451021
2017,RCD,194606
2017,RCF,152765
2017,RCU,247524
2017,RCX,197161
2017,RD1,347014
2017,RD8,232223
2017,RDE,647925
2017,RDU,675919
2017,REF,408871
2017,REM,542407
2017,REN,10001
2017,REP,96006
2017,RET,51590
2017,RF4,477576
2017,RFF,177426
2017,RFR,209752
2017,RFS,215505
2017,RGM,130038
2017,RGN,488894
2017,RGP,186630
2017,RGR,229654
2017,RGT,603329
2017,RH5,302582
2017,RH8,448446
2017,RHM,693946
2017,RHQ,718368
2017,RHU,578373
2017,RHW,449878
2017,RJ1,1235228
2017,RJ2,355120
2017,RJ6,219053
2017,RJ7,555555
2017,RJC,217798
2017,RJE,614265
2017,RJL,318887
2017,RJN,135154
2017,RJR,187009
2017,RJZ,889494
2017,RK5,302308
2017,RK9,467350
2017,RKB,541322
2017,RKE,163454
2017,RL1,103833
2017,RL4,424092
2017,RLQ,161409
2017,RLT,148953
2017,RM1,608749
2017,RM3,408385
2017,RMC,285654
2017,RMP,189057
2017,RN3,316004
2017,RN5,413321
2017,RN7,251622
2017,RNA,318844
2017,RNN,227315
2017,RNQ,274007
2017,RNS,327692
2017,RNZ,232072
2017,RP4,429553
2017,RP5,378100
2017,RP6,257864
2017,RPA,271218
2017,RPC,186713
2017,RPY,104318
2017,RQ3,487950
2017,RQM,580976
2017,RQW,217496
2017,RQX,291322
2017,RR7,156690
2017,RR8,958859
2017,RRF,313110
2017,RRJ,142904
2017,RRK,1077661
2017,RRV,757799
2017,RTD,850005
2017,RTE,574545
2017,RTF,295739
2017,RTG,825138
2017,RTH,910369
2017,RTK,307234
2017,RTP,310578
2017,RTR,520625
2017,RTX,267557
2017,RVJ,451190
2017,RVR,369574
2017,RVV,623348
2017,RVW,213393
2017,RVY,137149
2017,RWA,548385
2017,RWD,465069
2017,RWE,976621
2017,RWF,436300
2017,RWG,346298
2017,RWH,390525
2017,RWJ,256633
2017,RWP,464873
2017,RWW,231004
2017,RWY,397240
2017,RX1,864565
2017,RXC,317705
2017,RXF,468234
2017,RXK,429212
2017,RXL,263568
