"","date","trust_code","covid_flag","completed_pathways_for_admitted_patients","completed_pathways_for_non_admitted_patients","incomplete_pathways","incomplete_pathways_with_dta","new_rtt_periods_all_patients","audiology_assessments","barium_enema","colonoscopy","ct","cystoscopy","dexa_scan","echocardiography","electrophysiology","flexi_sigmoidoscopy","gastroscopy","mri","non_obstetric_ultrasound","peripheral_neurophys","sleep_studies","urodynamics","all_diagnostics_tests","audiology_audiology_assessments","barium_enema_2","cardiology_echocardiography","cardiology_electrophysiology","colonoscopy_2","computed_tomography","cystoscopy_2","dexa_scan_2","flexi_sigmoidoscopy_2","gastroscopy_2","magnetic_resonance_imaging","neurophysiology_peripheral_neurophysiology","non_obstetric_ultrasound_2","respiratory_physiology_sleep_studies","total.x","urodynamics_pressures_flows","operating_theatres","X.x","occupied_beds","bed_capacity","covid_beds","X.y","sick_ftes","total_ftes","sickness_rate","ratio_doctors","doctors","senior_doctors","nurses","managers","all_ftes","standard_los","los_unadjusted","elective_proportion","emergency_proportion","CatchmentYear","trust_total_catchment","date_yr","total_ftes2","low","moderate","high","significant","investment","cost","total.y","total_pathways","admitted_pathways","non_admitted_pathways","nurses_ratio","doctors_ratio","senior_doctors_ratio","occupied_ratio","significant_ratio","years_since_covid"
"1",2019 Q1,"R0A","pre-covid",15021,64424,253617,55386,102087,3910,24,1650,19575,591,1668,5666,22,1101,2682,12649,29953,1420,217,270,81398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1222,1909.34065934066,2163.94505494505,0,14642,83658.75159,1706435.28459,0.049025446406015,0.497661057252633,1173.12008,1162.19574,5621.17756,235.40082,19128.31336,7.311651624,7.902738589,0.23356517,0.76643483,2020,1521533,2019,83658.75159,19103637,13086180,275000,22629648,18306752.9736493,65173894.8810594,73622040.8574876,79445,15021,64424,0.00329410532632685,0.000687468250682511,0.000681066402280376,0.882342485996783,0.711549494052731,"-1_yrs"
"2",2019 Q1,"R1F","pre-covid",1622,7599,29834,8155,9744,0,0,598,5769,200,0,825,0,238,625,1995,4366,149,104,78,14947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1137,267.505494505494,300.054945054945,0,14647,14148.03551,245703.35101,0.05758177677204,0.630824953960795,79.1146,135.18645,682.31812,78.79999,2671.90883,9.18422734,9.410727682,0.132778805,0.867221195,2020,106295,2019,14148.03551,643934,1454165,4216969,5182675,1229795.25195751,13601233.6929206,14534855.4020826,9221,1622,7599,0.0027769996509825,0.000321992352464009,0.000550201897712408,0.891521699322467,4.48007648828773,"-1_yrs"
"3",2019 Q1,"R1H","pre-covid",9923,49774,269688,45934,89095,4904,1,2169,24258,767,1824,11202,33,686,2527,13125,38577,1169,2929,214,104385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1080,1698.54945054945,1836.96703296703,0,14648,49071.89623,1369782.70292,0.0358245845311028,0.406927407027148,1441.99675,989.40333,4337.81571,262.42001,14741.79572,6.508364115,7.122202025,0.163006246,0.836993754,2020,1066953,2019,49071.89623,2062159,134186167,39043770,91660366,11557403.3251426,315790918.31871,332338888.452115,59697,9923,49774,0.00316679112734667,0.00105271934513851,0.000722306777484388,0.924648847838052,0.959308197298512,"-1_yrs"
"4",2019 Q1,"R1K","pre-covid",5739,32896,161010,20874,57256,504,0,1188,15092,486,1141,2969,0,2028,2216,7847,21959,494,151,414,56489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1081,1114.34065934066,1245.71428571429,0,14650,23422.6879,713625.14214,0.0328221169867427,0.451678097709479,656.13466,540.48845,2350.17317,188.11983,7681.73075,6.907367873,7.709370367,0.116909522,0.883090478,2020,519432,2019,23422.6879,43579589,117900350,45051937,29408078,2684767.04820852,279104729.67181,282699423.264624,38635,5739,32896,0.0032932880741174,0.000919438821945652,0.000757384259723806,0.894539520112912,0.461110002029416,"-1_yrs"
"5",2019 Q1,"RA2","pre-covid",4038,14450,67675,10642,24682,2159,0,875,11320,598,0,1152,1304,670,1057,4128,9895,422,104,60,33744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1138,413.32967032967,514,0,14652,10665.00206,338170.03872,0.0315373949163795,0.505348159358601,272.43239,278.32345,999.44954,103.74,3674.01316,5.588630484,6.209656085,0.187587696,0.812412304,2020,323150,2019,10665.00206,506154,381400,41700,137522,1112266.98837925,1261940.68470648,2528558.56536638,18488,4038,14450,0.00295546448698706,0.000805607708569268,0.000823028116427688,0.80414332748963,0.201927995367042,"-1_yrs"
"6",2019 Q1,"RA4","pre-covid",1721,6674,28978,9972,11406,1029,0,423,4633,315,336,1515,0,346,503,1778,6040,0,314,59,17291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1114,289.274725274725,349.263736263736,0,14654,5715.7653,185641.9919,0.0307891832095775,0.591791415794602,100.72924,146.03,517.01454,73.11334,2029.34573,6.223374765,6.87242268,0.118867303,0.881132697,2020,123332,2019,5715.7653,38000,519500,388500,5281460,1882643.03720688,7366762.22223053,9177822.87076777,8395,1721,6674,0.00278500857865445,0.000542599435445941,0.000786621596253191,0.828241512758393,10.170331838565,"-1_yrs"
"7",2019 Q1,"RA7","pre-covid",10605,25223,85245,26363,39446,6840,1,246,13638,6,823,4677,25,242,759,7194,8919,391,292,0,44053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1115,742.032967032967,824.582417582418,0,14655,31050.57268,752053.54563,0.0412877152969058,0.445389043063872,654.82731,525.86936,2229.40861,92.31334,8093.87411,5.936269362,6.470936214,0.228873239,0.771126761,2020,744653,2019,31050.57268,21862689,13009893,2513500,9448299,2797765.80335976,55402643.8792624,57739717.6272939,35828,10605,25223,0.00296442802903404,0.000870718998407816,0.000699244572485163,0.899889387901968,0.343014434663886,"-1_yrs"
"8",2019 Q1,"RA9","pre-covid",3307,16927,56424,13407,25561,2819,0,1025,7212,36,366,1946,0,343,1316,3622,5618,108,55,154,24620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1116,325.505494505494,366.703296703297,0,14656,21622.15595,477164.38034,0.0453138516638507,0.532488016735272,214.12399,243.8835,1046.48923,129.17999,5168.88004,5.879198543,6.457133614,0.096701817,0.903298183,2020,231423,2019,21622.15595,3221000,6682000,7238000,20477000,5488623.85153974,44500143.1202879,46689597.1449573,20234,3307,16927,0.00219314197185953,0.00044874261118868,0.000511110028427148,0.887653581060831,2.79864687468444,"-1_yrs"
"9",2019 Q1,"RAE","pre-covid",3060,12821,76702,14400,18888,13644,0,1191,9360,698,1191,1354,0,735,1445,4272,10790,306,392,116,45494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1254,581.373626373626,665.252747252747,0,14657,25614.85354,489032.32824,0.052378650777928,0.494184603046302,329.61648,322.03723,1303.79831,70.71333,5275.78818,5.006403724,5.294384338,0.112957708,0.887042292,2020,376141,2019,25614.85354,29811854,17843503,374000,16715391,5269556.05143979,76589679.2037582,82543233.8693276,15881,3060,12821,0.00266607795581183,0.000674017771353218,0.000658519307218388,0.873913905315669,0.358603776696081,"-1_yrs"
"10",2019 Q1,"RAJ","pre-covid",4024,37796,89732,17864,46270,2626,0,478,8522,309,616,3282,0,156,505,4299,10256,385,865,55,32354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1201,488.879120879121,574.769230769231,0,14658,13837.56169,358969.19022,0.0385480483200228,0.522180986932836,257.31477,281.20455,983.57949,156.14952,3902.0775,5.385967356,5.834551148,0.134230597,0.865769403,2020,998600,2019,13837.56169,1443814,22984112,5540314,12746096,0,50528844.3109167,54573533.9052264,41820,4024,37796,0.00274001088894899,0.000716815751909796,0.000783366811585304,0.850565922300398,0.7485862696653,"-1_yrs"
"11",2019 Q1,"RAL","pre-covid",4934,13858,66392,12364,24177,2005,0,1937,20401,597,2185,2316,0,655,1523,9957,34128,140,0,264,76108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1082,874.505494505495,1084.67032967033,0,14659,26573.98894,810317.71724,0.0327945303115337,0.47357894119594,797.10214,717.08907,2354.30855,78.82666,8575.68771,6.284640807,6.733446795,0.176112656,0.823887344,2020,676227,2019,26573.98894,11897051,8835593,5300939,13642769,13926848.4490177,46935066.7895933,59254525.3063487,18792,4934,13858,0.00290541413560467,0.000983690869693664,0.000884948033028892,0.806240818600882,0.913714044383341,"-1_yrs"
"12",2019 Q1,"RAN","pre-covid",1887,3665,17759,6281,6618,0,0,0,1157,0,1200,0,0,0,0,3013,1860,86,0,0,7316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1083,105.549450549451,191.714285714286,0,14660,4831.00121,134993.58033,0.0357868959263865,0.61346084387958,71.8,113.95091,343.13279,117.71333,1460.43265,0,0,0,0,2020,164723,2019,4831.00121000001,1612585,19827041,151496,5032034,487918.789712211,31493812.8638883,32727115.0637908,5552,1887,3665,0.00254184524301964,0.000531877144264791,0.000844120955392398,0.550556001375675,0.2417733406357,"-1_yrs"
"13",2019 Q1,"RAP","pre-covid",1757,10465,34217,4736,15293,0,0,592,3472,608,0,2272,0,194,748,2170,6422,0,397,27,16902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1084,467.78021978022,508.89010989011,0,14661,11084.20221,282480.97988,0.039238755879099,0.417724616499579,294.10796,210.99318,924.33119,140.59634,3069.24595,6.427321428,6.895114943,0.050950035,0.949049965,2020,202746,2019,11084.20221,327992,1858067,1073784,4469651,64945.0358192069,9143590.54833874,10425055.7920914,12222,1757,10465,0.00327218912364529,0.00104116022298188,0.000746928802390984,0.919216566974023,2.53581216243477,"-1_yrs"
"14",2019 Q1,"RAS","pre-covid",4307,19396,69333,10928,29272,2185,11,191,6873,161,0,2246,0,63,117,2992,11739,0,0,0,26578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1085,397.703296703297,487.43956043956,0,14662,11337.12299,274232.59718,0.0413412668901596,0.530043549476774,193.3805,218.1055,743.77283,81.72667,2948.33696,6.184456298,6.637137246,0.162471826,0.837528174,2020,187304,2019,11337.12299,2842518,14113605,128284963,90878841,2100468.74176011,279317628.397361,282297090.647429,23703,4307,19396,0.00271219700957653,0.000705169633327979,0.000795330322663431,0.815902788736841,12.9253487958303,"-1_yrs"
"15",2019 Q1,"RAX","pre-covid",3823,16716,58379,9010,26278,586,0,820,7797,526,534,1604,0,306,883,4068,9257,241,44,648,27314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1087,384.736263736264,424.967032967033,0,14664,8476.91194,268859.12174,0.031529195978694,0.519636972716917,227.59557,246.20353,822.46165,69.88667,2952.35559,5.212020273,5.933084732,0.122668768,0.877331232,2020,285688,2019,8476.91194000001,2250270,9029149,20997313,4971264,2000365.30428005,44062447.576796,46276609.3625318,20539,3823,16716,0.00305908032681651,0.000846523519555703,0.000915734338513874,0.905332023169219,2.30229739670102,"-1_yrs"
"16",2019 Q1,"RBD","pre-covid",3784,7652,42616,10111,14190,4061,0,1017,7635,196,417,1829,0,378,778,2144,5318,316,106,14,24209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1118,275.362637362637,320.32967032967,0,14666,7855.1338,215617.24533,0.0364309162190519,0.586168712479608,127.45625,180.5346,566.41671,87.02666,2328.67299,0,0,0,0,2020,170832,2019,7855.13379999999,1487483,1825967,2208436,4587111,580385.11400219,11958419.1956659,12369663.2533861,11436,3784,7652,0.00262695457931997,0.000591122708227394,0.000837292025151762,0.859622641509434,2.05089770480919,"-1_yrs"
